"July 16, 2017",7,The Obesity Code,Jason Fung,Greystone Books,Peter Steinberg
"July 16, 2017",8,Breaking the Habit of Being Yourself,Joe Dispenza,Hay House,James Bell
"July 16, 2017",9,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Shannon Marven
"July 16, 2017",10,You Are a Badass,Jen Sincero,Running Press,Neil Gudovitz
"July 16, 2017",11,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Marc Gerald
"July 16, 2017",12,The Plant Paradox,Steven R. Gundry M.D.,Harper Wave,Peter McGuigan
"July 16, 2017",13,The Life-Changing Magic of Tidying Up,Marie Kondō,Ten Speed Press,Kathy Robbins
"July 16, 2017",14,The 5 Second Rule,Mel Robbins,Savio Republic,Mollie Glick
"July 16, 2017",15,Rediscovering Americanism,Mark R. Levin,Threshold Editions,Tina Bennett
"July 16, 2017",16,Born a Crime,Trevor Noah,Spiegel & Grau,Danielle Chiotti
"July 16, 2017",17,Trim Healthy Mama's Trim Healthy Table,Pearl Barrett & Serene Allison,Harmony,Betsy Lerner
"July 16, 2017",18,Leadership and Self-Deception,The Arbinger Institute,Berrett-Koehler Publishers,Marc Gerald
"July 16, 2017",19,Killers of the Flower Moon,David Grann,Doubleday,Robert Barnett
"July 16, 2017",20,Sapiens,Yuval Noah Harari,Harper,Peter Steinberg
"July 23, 2017",1,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"July 23, 2017",2,Devil's Bargain,Joshua Green,Penguin Press,Gail Ross
"July 23, 2017",3,The Miracle of Dunkirk,Walter Lord,Open Road Media,Tina Bennett
"July 23, 2017",4,Hillbilly Elegy,J.D. Vance,Harper,Robert Barnett
"July 23, 2017",5,"Al Franken, Giant of the Senate",Al Franken,Twelve,Betsy Lerner
"July 23, 2017",6,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Susan Lee Cohen
"July 23, 2017",7,The Sociopath Next Door,Martha Stout Ph.D.,Harmony,Marc Gerald
"July 23, 2017",8,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,Thomas Flannery Jr.
"July 23, 2017",9,Dangerous,Milo Yiannopoulos,Dangerous Books,James Bell
"July 23, 2017",10,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Peter Steinberg
"July 23, 2017",11,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Marc Gerald
"July 23, 2017",12,You Are a Badass,Jen Sincero,Running Press,Jennifer Rudolph Walsh
"July 23, 2017",13,Sapiens,Yuval Noah Harari,Harper,Peter McGuigan
"July 23, 2017",14,The 5 Second Rule,Mel Robbins,Savio Republic,Jan Miller
"July 23, 2017",15,The Glass Castle,Jeannette Walls,Scribner,Kristine Dahl
"July 23, 2017",16,The Complete Software Developer's Career Guide,John Sonmez,Simple Programmer,Kathy Robbins
"July 23, 2017",17,Born a Crime,Trevor Noah,Spiegel & Grau,Mollie Glick
"July 23, 2017",18,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Gail Ross
"July 23, 2017",19,Escape,"Carolyn Jessop, Laura Palmer",Broadway Books,Tina Bennett
"July 23, 2017",20,Killers of the Flower Moon,David Grann,Doubleday,Robert Barnett
"July 30, 2017",1,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"July 30, 2017",2,The Glass Castle,Jeannette Walls,Scribner,Jennifer Rudolph Walsh
"July 30, 2017",3,What Happened,Hillary Rodham Clinton,Simon & Schuster,Tina Bennett
"July 30, 2017",4,Hillbilly Elegy,J.D. Vance,Harper,Betsy Lerner
"July 30, 2017",5,The Miracle of Dunkirk,Walter Lord,Open Road Media,Robert Barnett
"July 30, 2017",6,The Tao of Pooh,Benjamin Hoff,Penguin Books,Marc Gerald
"July 30, 2017",7,Astrophysics for People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,Marc Gerald
"July 30, 2017",8,"Al Franken, Giant of the Senate",Al Franken,Twelve,Peter Steinberg
"July 30, 2017",9,I Can't Make This Up,Kevin Hart,Atria / 37 Ink,James Bell
"July 30, 2017",10,Chasing Excellence,Ben Bergeron,Lioncrest Publishing,Gail Ross
"July 30, 2017",11,The 5 Second Rule,Mel Robbins,Savio Republic,Peter McGuigan
"July 30, 2017",12,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,Jan Miller
"July 30, 2017",13,Capital Gaines,Chip Gaines,Thomas Nelson,Mollie Glick
"July 30, 2017",14,You Are a Badass,Jen Sincero,Running Press,Jennifer Rudolph Walsh
"July 30, 2017",15,The 5 Love Languages,Gary D. Chapman,Northfield Publishing,Tina Bennett
"July 30, 2017",16,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,HarperCollins e-books,Betsy Lerner
"July 30, 2017",17,Devil's Bargain,Joshua Green,Penguin Press,Robert Barnett
"July 30, 2017",18,Sapiens,Yuval Noah Harari,Harper,Marc Gerald
"July 30, 2017",19,Born a Crime,Trevor Noah,Spiegel & Grau,Marc Gerald
"July 30, 2017",20,The 7 Habits of Highly Effective People,Stephen R. Covey,RosettaBooks,Peter Steinberg
"August 6, 2017",1,The Glass Castle,Jeannette Walls,Scribner,Jennifer Rudolph Walsh
"August 6, 2017",2,The Subtle Art of Not Giving a F*ck,Mark Manson,HarperOne,Mollie Glick
"August 6, 2017",3,"Al Franken, Giant of the Senate",Al Franken,Twelve,Robert Barnett
"August 6, 2017",4,Hillbilly Elegy,J.D. Vance,Harper,Tina Bennett
